Round,FedAvg_Clean,FedAvg_Attacker,FedProx_Krum_DP_Attacker
1,31.30,18.64,3.82
2,51.97,11.95,11.83
3,58.78,11.95,18.52
4,51.25,11.95,14.10
5,69.18,11.95,20.79
6,65.47,11.95,31.66
7,62.01,11.95,24.25
8,62.13,11.95,27.84
9,64.28,11.95,24.49
10,66.55,11.95,40.02
11,70.49,11.95,41.22
12,63.32,11.95,39.90
13,72.28,11.95,34.89
14,59.62,11.95,47.67
15,70.73,11.95,33.57
16,69.77,11.95,29.63
17,70.37,11.95,44.80
18,69.41,11.95,58.06
19,70.73,11.95,40.26
20,69.77,11.95,50.90
21,72.04,11.95,43.01
22,74.31,11.95,65.11
23,69.53,11.95,59.74
24,76.58,11.95,53.41
25,70.01,11.95,64.87
26,77.30,11.95,70.85
27,74.31,11.95,60.93
28,73.95,11.95,57.47
29,69.06,11.95,61.65
30,76.82,11.95,56.15
